Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Label,Timestamp
0.112549,0.181885,0.857666,0.687023,0.610687,-0.778626,3,1445474432.892972
0.111816,0.182373,0.864014,0.549618,3.832061,4.916030,3,1445474433.341528
0.110596,0.180908,0.859131,3.893130,-1.740458,5.068702,3,1445474433.401195
0.113281,0.179932,0.852051,0.122137,4.030534,5.358778,3,1445474433.431016
0.110107,0.181885,0.854736,0.473282,-5.648855,-3.374046,3,1445474433.490600
0.113037,0.181641,0.856201,-5.450382,0.610687,5.618320,3,1445474433.494716
0.112061,0.183594,0.854980,-0.259542,-0.748092,9.633588,3,1445474433.521230
0.113770,0.181396,0.863770,1.007634,0.122137,0.625954,3,1445474433.551036
0.111084,0.176514,0.851318,-1.114504,-0.381679,7.312977,3,1445474433.581342
0.113281,0.182373,0.859131,2.442748,5.297710,-7.282443,3,1445474433.670688
0.115234,0.180664,0.857910,0.656489,-0.458015,9.221375,3,1445474433.674941
0.110840,0.185303,0.852539,-2.381679,7.068702,-1.664122,3,1445474433.675529
0.111572,0.183350,0.850098,-1.465649,1.786260,-4.748092,3,1445474433.701213
0.113770,0.184082,0.855225,1.877863,0.396947,-4.992366,3,1445474433.731030
0.112305,0.184326,0.853271,1.786260,-0.946565,1.099237,3,1445474433.761367
0.112549,0.181641,0.859375,-0.503817,-5.541985,1.893130,3,1445474433.791215
0.108154,0.185303,0.859131,0.137405,2.564885,-5.465649,3,1445474433.821183
0.111816,0.181152,0.858398,1.160305,1.297710,-4.061069,3,1445474433.851211
0.105469,0.181885,0.856201,-2.122137,-6.335878,4.122138,3,1445474433.881120
0.114746,0.181152,0.857422,2.091603,0.274809,-5.938931,3,1445474433.911227
0.111328,0.184326,0.857666,-1.664122,-5.160306,8.442748,3,1445474433.941209
0.109131,0.182373,0.857178,1.648855,-4.473282,-6.274809,3,1445474433.971229
0.109863,0.183594,0.852051,3.190840,-2.610687,-1.633588,3,1445474434.060567
0.112549,0.185791,0.858154,-0.656489,7.175572,5.496183,3,1445474434.064771
0.113281,0.180908,0.855713,-1.450382,-3.007634,-3.404580,3,1445474434.090522
0.108154,0.186035,0.853516,1.297710,6.076336,-2.213740,3,1445474434.094765
0.114502,0.182617,0.855469,0.946565,1.007634,1.801527,3,1445474434.121147
0.114502,0.180420,0.857422,-0.977099,-4.183206,-5.587786,3,1445474434.151256
0.109863,0.185059,0.851074,3.847328,-6.335878,6.625954,3,1445474434.181406
0.108398,0.187012,0.853027,3.282443,1.496183,7.053435,3,1445474434.211179
0.112061,0.182617,0.859375,-1.221374,4.519084,3.129771,3,1445474434.270634
0.114258,0.186035,0.854004,-1.480916,3.251908,8.213740,3,1445474434.275067
0.114014,0.182129,0.851074,-0.412214,5.022901,4.870229,3,1445474434.301223
0.110352,0.011963,0.856934,0.748092,3.633588,3.083969,3,1445474434.331278
0.109375,0.184814,0.854980,-3.114504,0.305344,7.343512,3,1445474434.391190
0.108643,0.185791,0.855469,1.450382,2.854962,-6.748092,3,1445474434.421244
0.109619,0.180908,0.852295,-3.603053,-2.717557,7.068702,3,1445474434.510609
0.107666,0.180176,0.864258,-3.007634,-2.900763,-4.977099,3,1445474434.515057
0.109131,0.180176,0.858154,-3.557252,-1.343511,3.465649,3,1445474434.515546
0.106445,0.178711,0.858154,1.480916,4.809160,-6.641222,3,1445474434.541223
0.105957,0.176758,0.854980,-1.389313,-0.167939,-1.007634,3,1445474434.571233
0.108887,0.173584,0.858887,-2.122137,-1.755725,7.557252,3,1445474434.601314
0.110840,0.174072,0.856689,1.679389,2.748092,-0.946565,3,1445474434.631150
0.113037,0.172607,0.856201,-0.656489,5.404580,5.664122,3,1445474434.661314
0.109375,0.173828,0.850586,-0.748092,-2.625954,0.778626,3,1445474434.691216
0.110352,0.173584,0.855713,-3.190840,-5.557252,-1.374046,3,1445474434.721286
0.108887,0.178467,0.856445,-1.129771,3.358779,-4.671756,3,1445474434.751200
0.109131,0.175049,0.857178,-0.549618,9.221375,0.427481,3,1445474434.781253
